Symbol,Trade DATE,NOCP
SPX,5/11/2018,2727.72
SPX,5/14/2018,2730.13
SPX,5/15/2018,2711.45
SPX,5/16/2018,2722.46
SPX,5/17/2018,2720.13
SPX,5/18/2018,2712.97
SPX,5/21/2018,2733.01
SPX,5/22/2018,2724.44
SPX,5/23/2018,2733.29
SPX,5/24/2018,2727.76
SPX,5/25/2018,2721.33
SPX,5/29/2018,2689.86
SPX,5/30/2018,2724.01
SPX,5/31/2018,2705.27
SPX,6/1/2018,2734.62
SPX,6/4/2018,2746.87
SPX,6/5/2018,2748.8
SPX,6/6/2018,2772.35
SPX,6/7/2018,2770.37
SPX,6/8/2018,2779.03
SPX,6/11/2018,2782
SPX,6/12/2018,2786.85
SPX,6/13/2018,2775.63
SPX,6/14/2018,2782.49
SPX,6/15/2018,2779.66
SPX,6/18/2018,2773.75
SPX,6/19/2018,2762.59
SPX,6/20/2018,2767.32
SPX,6/21/2018,2749.76
SPX,6/22/2018,2754.88
SPX,6/25/2018,2717.07
SPX,6/26/2018,2723.06
SPX,6/27/2018,2699.63
SPX,6/28/2018,2716.31
SPX,6/29/2018,2718.37
SPX,7/2/2018,2726.71
SPX,7/3/2018,2713.22
SPX,7/5/2018,2736.61
SPX,7/6/2018,2759.82
SPX,7/9/2018,2784.17
SPX,7/10/2018,2793.84
SPX,7/11/2018,2774.02
SPX,7/12/2018,2798.29
SPX,7/13/2018,2801.31
SPX,7/16/2018,2798.43
SPX,7/17/2018,2809.55
SPX,7/18/2018,2815.62
SPX,7/19/2018,2804.49
SPX,7/20/2018,2801.83
SPX,7/23/2018,2806.98
SPX,7/24/2018,2820.4
SPX,7/25/2018,2846.07
SPX,7/26/2018,2837.44
SPX,7/27/2018,2818.82
SPX,7/30/2018,2802.6
SPX,7/31/2018,2816.29
SPX,8/1/2018,2813.36
SPX,8/2/2018,2827.22
SPX,8/3/2018,2840.35
SPX,8/6/2018,2850.4
SPX,8/7/2018,2858.45
SPX,8/8/2018,2857.7
SPX,8/9/2018,2853.58
SPX,8/10/2018,2833.28
SPX,8/13/2018,2821.93
SPX,8/14/2018,2839.96
SPX,8/15/2018,2818.37
SPX,8/16/2018,2840.69
SPX,8/17/2018,2850.13
SPX,8/20/2018,2857.05
SPX,8/21/2018,2862.96
SPX,8/22/2018,2861.82
SPX,8/23/2018,2856.98
SPX,8/24/2018,2874.69
SPX,8/27/2018,2896.74
SPX,8/28/2018,2897.52
SPX,8/29/2018,2914.04
SPX,8/30/2018,2901.13
SPX,8/31/2018,2901.52
SPX,9/4/2018,2896.72
SPX,9/5/2018,2888.6
SPX,9/6/2018,2878.05
SPX,9/7/2018,2871.68
SPX,9/10/2018,2877.13
SPX,9/11/2018,2887.89
SPX,9/12/2018,2888.92
SPX,9/13/2018,2904.18
SPX,9/14/2018,2904.98
SPX,9/17/2018,2888.8
SPX,9/18/2018,2904.31
SPX,9/19/2018,2907.95
SPX,9/20/2018,2930.75
SPX,9/21/2018,2929.67
SPX,9/24/2018,2919.37
